Jname	Jarticles	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Cogn Sci	61	1125	550	
Pain Manag Nurs	41	989	711	1143
Curr Pharm Biotechnol	110	951.5	777	
J Am Assoc Nurse Pract	10	944.5	536	964
Environ. Toxicol.	98	825	734	907
J Obstet Gynaecol India	88	800	496.5	1166
World Neurosurg	582	799.5	430	
Indian J Surg	181	797	544	963
Health Econ	97	769	650	865
Community Ment Health J	80	764.5	642.5	848
Int J Older People Nurs	9	764	724	789
Int Wound J	30	764	165	801
Hist Cienc Saude Manguinhos	34	759	547	
Int J Psychol	17	738	528	916
Harm Reduct J	14	731	302	
Br J Soc Psychol	19	718	580	825.5
Neuroethics	10	715	516	914
Am J Geriatr Psychiatry	230	696.5	548	804
J Parasit Dis	72	693.5	603.5	759
J Clin Ultrasound	101	690	507	
Urol. Oncol.	220	688	474	860
Arch Sex Behav	141	677	571	784
J Indian Prosthodont Soc	111	674	521.5	804
Hum Brain Mapp	234	656	507	754
Caspian J Intern Med	27	653	104.5	
Eur J Health Econ	72	653	568.5	754
Indian J Hematol Blood Transfus	85	653	589	740
Mol. Carcinog.	145	648	572	684
Psychol Psychother	9	648	574	831
Semergen	95	648	447	
J Complement Integr Med	11	644	344.5	
Jpn J Nurs Sci	14	643.5	602	744
Br J Psychol	25	633	554	669
J Investig Clin Dent	48	632.5	471	717
Encephale	48	630	557	833.5
J Behav Med	60	629.5	575.5	684.5
J Math Biol	96	625.5	552.5	692.5
Br J Math Stat Psychol	29	620	367	696
Arch Med Sci	120	614.5	441.5	757
Radiol Med	68	613	568	666
Cortex	226	609.5	444	
Int J Methods Psychiatr Res	10	609	463	818
Acta Ortop Bras	39	607	235.5	
Psychometrika	40	605	534	737
Econ Hum Biol	49	600	417	748
J Sch Health	55	598	540	654
Phys Ther Sport	36	598	509.5	665
Head Neck	71	596	529.5	686
Diagn. Cytopathol.	130	594.5	504	699
Early Interv Psychiatry	71	594	401	684
Int J Pharm Pract	51	589	530	690
World J Pediatr	43	581	412.5	645
Int J Stroke	33	580	517	645
Breast Cancer	77	579	229	768
Ann Dyslexia	16	578.5	532.5	774
Curr Mol Pharmacol	7	578	91.5	
Health Info Libr J	26	578	458	767
Clin. Exp. Med.	41	575	504	618
Indian J Community Med	21	573	385	696
Fundam Clin Pharmacol	36	571	496	631.5
J. Forensic Sci.	360	571	510	635
An. Acad. Bras. Cienc.	111	570	316.5	738.5
Int Arch Occup Environ Health	97	563	515	617
J Coll Physicians Surg Pak	148	562	424	646
Br J Educ Psychol	12	560	526	626
Odontology	76	560	493	624
J Maxillofac Oral Surg	96	558	488	642
Neurologia	80	558	473	
Surg. Today	281	558	502	637
Can Assoc Radiol J	43	556	159	676
Rev Bras Epidemiol	58	552.5	491	735
Iran J Psychiatry Behav Sci	10	549	302	740
Biol Rev Camb Philos Soc	55	547	492	601.5
J Appl Mech	7	542	398	688.5
Physiotherapy	41	542	500	612
Anat Histol Embryol	62	538	489	607
Iran J Radiol	37	538	278	616
Oral Maxillofac Surg	48	535.5	477	622
Curr Vasc Pharmacol	69	535	412	603
Int J Biometeorol	137	535	480	607
Med. Vet. Entomol.	18	535	480	544
Acta Ophthalmol	22	534.5	484	582
Scand J Caring Sci	48	534.5	482.5	604
Arch Soc Esp Oftalmol	124	534	384	743.5
Adv Health Sci Educ Theory Pract	58	532	449	558
Stress Health	52	530.5	438	683.5
Appl Ergon	156	530	443	718.5
Neuroendocrinology	89	530	240	
J Sch Psychol	43	529	388	632
Recent Pat DNA Gene Seq	12	528.5	417	563
Sci Eng Ethics	43	528	475.5	630
Urol Ann	34	527.5	471	656
J. Basic Microbiol.	152	526	485	595
Oncogene	472	526	478	581
Pharmacogenomics J.	50	524	450	585
Knee Surg Sports Traumatol Arthrosc	477	523	398	622
J Anim Physiol Anim Nutr (Berl)	61	521	484	593
Stat Med	359	520	427.5	631.5
East. Mediterr. Health J.	35	519	489	560
Psychol Res	71	519	467.5	593.5
Brain Struct Funct	167	518	462	568.5
Nutr Metab Cardiovasc Dis	110	518	332	696
J Microbiol Immunol Infect	92	517	266	643.5
J Craniomaxillofac Surg	282	514.5	439	585
Mol. Psychiatry	73	514	472	575
J Eur Acad Dermatol Venereol	102	512	462	541
Dev Psychobiol	127	511	437.5	559
Age (Dordr)	121	510	416	560
Int J Med Robot	24	509	417.5	628.5
Pediatr Obes	69	507	266	625
Br J Health Psychol	48	503.5	432	603.5
Alzheimers Dement	88	503	402	619.5
Med Intensiva	78	501.5	326	
J Appl Toxicol	152	499.5	345	619.5
Spine J	434	499.5	357	607
Heart Vessels	137	499	443	534
Int. J. Clin. Oncol.	125	499	439	553
Physiother Res Int	17	499	444	605
Curr Comput Aided Drug Des	24	498.5	401.5	604
Exp. Toxicol. Pathol.	151	496	322	713.5
Biomol NMR Assign	73	495	440	543
Br J Dev Psychol	13	495	325	670
Rev Esc Enferm USP	36	495	403	560
Sleep Med Rev	53	495	428	556
Phys Med	72	494	400	541
Dyslexia	10	493.5	59	731
Pediatr. Pulmonol.	208	491.5	432.5	549.5
Community Dent Oral Epidemiol	52	491	434	534
Ann Dermatol	43	490	389.5	600
Neurosurg Rev	89	490	400	572
Med J Armed Forces India	58	489	394	586
Midwifery	199	489	350	548.5
