Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
AAPS J	96	74	112	98	72	125	199	161	229.5
AAPS PharmSciTech	79	52	98	111	88	141	189	163	227.5
Acad Emerg Med	149.5	128	159	75	51	121	225.5	208	251
Acad Pediatr				122	68	181			
Acad Radiol	124	105.5	153	75	48	110.5	197	172	247
Accid Anal Prev	121	97	187.5	179	116.5	271	329	253	419
ACS Chem Neurosci	70	37	107	47	5	55	116	82	166
ACS Macro Lett									
ACS Med Chem Lett	55	38		88	53		99	61	142
Acta Anaesthesiol Taiwan	94	73	139	124	82	291.5	263.5	190.5	380.5
Acta Biochim. Pol.				107	56	165.5			
Acta Biomater	111	100	127	113	93	136	228	201	258
Acta Biomed	104	64		62	11	108	120	90	173
Acta Biotheor.	42	37	50	234	208	257.5	270	250	286
Acta Cir Bras	17	13	41	91	88	94	109	104	130
Acta Crystallogr B Struct Sci Cryst Eng Mater	62	50	67	103	64	161	181	115	203
Acta Crystallogr C	34	25	42	39	22	63	72	52	105
Acta Crystallogr Sect E Struct Rep Online	34	21		12	5	28	65	36	
Acta Crystallogr. D Biol. Crystallogr.	97	84	110	77.5	49	114.5	177	143	218
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.	37	29	44.5	52	34	77	86.5	69	118.5
Acta Cytol.		211		71	48	117		151	
Acta Diabetol	278	192	549	63	43	101	385	245	622
Acta Ethol									
Acta Haematol.	206	79		96	60	149	203.5	122	347
Acta Histochem Cytochem	64	51	110	59	51.5	73	123	96.5	196
Acta Histochem.	200	179	214	55	37	70	251	228	278
Acta Inform Med		23.5		59.5	46.5	69		105	
Acta Med Acad		275		83	51	106		277	
Acta Med Iran				106	0				
Acta Med Port				119	65	195			
Acta Neurochir (Wien)	76	65	100	81	59	113	166	132	207
Acta Neurol Belg	247	201	351	67	42	137	348	308	431
Acta Neuropathol Commun				6.5	0.5	40.5			
Acta Neuropathol.	71	52	88	92.5	55	132	160	112	224
Acta Obstet Gynecol Scand	104	91	119	170	129	267	287	238	386
Acta Ophthalmol	379.5	247	400	179	147	233	534.5	484	582
Acta Ortop Bras	564	225.5		113	56	193	607	235.5	
