Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
AAPS J	151	151	96	74	112	151	98	72	125	151	199	161	229.5
AAPS PharmSciTech	143	143	79	52	98	143	111	88	141	143	189	163	227.5
Acad Emerg Med	82	82	149.5	128	159	82	75	51	121	82	225.5	208	251
Acad Pediatr	97	97				97	122	68	181	97			
Acad Radiol	156	156	124	105.5	153	156	75	48	110.5	156	197	172	247
Accid Anal Prev	484	484	121	97	187.5	484	179	116.5	271	484	329	253	419
ACS Chem Neurosci	25	25	70	37	107	25	47	5	55	25	116	82	166
ACS Macro Lett	1	1				1				1			
ACS Med Chem Lett	208	208	55	38		208	88	53		208	99	61	142
Acta Anaesthesiol Taiwan	32	32	94	73	139	32	124	82	291.5	32	263.5	190.5	380.5
Acta Biochim. Pol.	184	184				184	107	56	165.5	184			
Acta Biomater	456	456	111	100	127	456	113	93	136	456	228	201	258
Acta Biomed	21	21	104	64		21	62	11	108	21	120	90	173
Acta Biotheor.	44	44	42	37	50	44	234	208	257.5	44	270	250	286
Acta Cir Bras	70	70	17	13	41	70	91	88	94	70	109	104	130
Acta Crystallogr B Struct Sci Cryst Eng Mater	61	61	62	50	67	61	103	64	161	61	181	115	203
Acta Crystallogr C	353	353	34	25	42	353	39	22	63	353	72	52	105
Acta Crystallogr Sect E Struct Rep Online	2028	2028	34	21		2028	12	5	28	2028	65	36	
Acta Crystallogr. D Biol. Crystallogr.	312	312	97	84	110	312	77.5	49	114.5	312	177	143	218
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.	324	324	37	29	44.5	324	52	34	77	324	86.5	69	118.5
Acta Cytol.	141	141		211		141	71	48	117	141		151	
Acta Diabetol	78	78	278	192	549	78	63	43	101	78	385	245	622
Acta Ethol	2	2				2				2			
Acta Haematol.	142	142	206	79		142	96	60	149	142	203.5	122	347
Acta Histochem Cytochem	11	11	64	51	110	11	59	51.5	73	11	123	96.5	196
Acta Histochem.	133	133	200	179	214	133	55	37	70	133	251	228	278
Acta Inform Med	52	52		23.5		52	59.5	46.5	69	52		105	
Acta Med Acad	17	17		275		17	83	51	106	17		277	
Acta Med Iran	86	86				86	106	0		86			
Acta Med Port	172	172				172	119	65	195	172			
Acta Neurochir (Wien)	304	304	76	65	100	304	81	59	113	304	166	132	207
Acta Neurol Belg	34	34	247	201	351	34	67	42	137	34	348	308	431
Acta Neuropathol Commun	24	24				24	6.5	0.5	40.5	24			
Acta Neuropathol.	114	114	71	52	88	114	92.5	55	132	114	160	112	224
Acta Obstet Gynecol Scand	169	169	104	91	119	169	170	129	267	169	287	238	386
Acta Ophthalmol	22	22	379.5	247	400	22	179	147	233	22	534.5	484	582
Acta Ortop Bras	39	39	564	225.5		39	113	56	193	39	607	235.5	
Acta Otorhinolaryngol Ital	31	31	148	144	208	31	76	23	118.5	31	242	167	383
Acta Otorrinolaringol Esp	114	114				114	83	55	123	114			
Acta Paediatr.	310	310	97	87	105	310	93	67	134	310	191	158	234
Acta Parasitol.	8	8				8				8	113	107.5	120.5
Acta Pharmacol. Sin.	105	105	133	121	147	105	88	68	122	105	228	198	263
Acta Physiol (Oxf)	117	117	102	75	138	117	106	73	172	117	230	150	344
Acta Psychiatr Scand	2	2				2				2			
Acta Psychol (Amst)	183	183	79	63	93	183	191	151	253	183	281	232	364.5
Acta Radiol Short Rep	27	27				27	95	37.5	124.5	27			
Acta Theriol.	13	13		236		13	205	198	231	13	64	63	349
Acta Trop.	224	224	104.5	92	123.5	224	135	87.5	185.5	224	240.5	196	313
Acta Vet. Scand.	58	58				58	135.5	90	210	58		70	
Actas Dermosifiliogr	129	129	291	223	522	129	109	70	163	129	448	308	713
Actas Esp Psiquiatr	27	27				27	0	0	0	27			
Actas Urol Esp	99	99	295	223		99	29	5	74	99	330	247.5	
Addict Behav	255	255	124	108	138	255	150	123.5	195	255	278	248	339.5
Addict Health	18	18				18	102	96	107	18			
Addict Res Theory	2	2				2				2			
Addict Sci Clin Pract	14	14				14	179	157	224	14		191	
Addiction	177	177	149	133	179	177	197	147	268	177	358	300	449
Adipocyte	29	29	106	82	143	29	46	25	70	29	171	132	192
Adv Appl Bioinform Chem	2	2				2				2			
Adv Bioinformatics	20	20				20	66.5	53	129	20	57	11	
Adv Biol Regul	59	59	109	65.5	118	59	4	2	7	59	110	81.5	120.5
Adv Biomed Res	107	107	132	83	286	107	64	35	95	107	198	132	313
Adv Chronic Kidney Dis	56	56	88	75	96	56	60	31.5	76	56	153	109.5	172
Adv Cogn Psychol	34	34				34	73	42	135	34		139	
Adv Colloid Interface Sci	53	53	129	89	189	53	114	76	150	53	273	205	345
Adv Health Sci Educ Theory Pract	58	58	398	331	427	58	125	90	156	58	532	449	558
Adv Healthc Mater	174	174				174				174	272	240	299
Adv Hematol	17	17				17	66	44	74	17			
Adv Life Course Res	22	22	114.5	88	143	22	194	144	238	22	306	262	351
Adv Math (N Y)	2	2				2				2			
Adv Orthop	49	49				49	83	57	162	49	133	40	
Adv Pharm Bull	127	127		46		127	34	26	49	127		65	
Adv Pharmacol Sci	28	28				28	63	42	85.5	28			
Adv Phys	1	1				1				1			
Adv Prev Med	15	15				15	74	55.5	87	15		89	
Adv Ther	61	61				61				61	51	33	75
